Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,65.800003,68.995003,64.614998,67.565002,57.927864,410060
2010-01-05,66.625000,68.500000,65.004997,65.309998,55.994507,235170
2010-01-06,65.699997,66.500000,64.230003,64.764999,55.527241,128710
2010-01-07,65.500000,65.500000,63.599998,63.860001,54.751324,85830
2010-01-08,66.050003,68.500000,63.799999,64.720001,55.488659,988000
2010-01-11,65.000000,65.900002,63.680000,64.315002,55.141430,1147460
2010-01-12,63.014999,64.389999,61.055000,61.529999,52.753662,213100
2010-01-13,62.000000,62.169998,60.305000,60.770000,52.102074,126660
2010-01-14,62.840000,62.840000,60.500000,60.794998,52.123501,172990
2010-01-15,61.900002,64.400002,61.500000,62.845001,53.881100,454640
2010-01-18,62.900002,66.000000,62.500000,64.139999,54.991386,1306970
2010-01-19,64.199997,65.000000,62.605000,63.209999,54.194035,177520
2010-01-20,63.705002,63.980000,61.529999,61.860001,53.036602,73470
2010-01-21,61.700001,63.389999,60.605000,60.980000,52.282116,101500
2010-01-22,61.200001,61.200001,59.130001,60.299999,51.699108,99660
2010-01-25,60.700001,61.384998,59.110001,59.555000,51.060368,83170
2010-01-27,55.365002,60.000000,55.365002,56.860001,48.749767,72060
2010-01-28,57.000000,59.000000,53.264999,57.605000,49.388508,618290
2010-01-29,59.049999,59.049999,55.799999,56.785000,48.685471,53470
2010-02-01,57.500000,60.049999,56.500000,58.884998,50.485931,62190
2010-02-02,61.599998,61.599998,56.610001,57.189999,49.032700,62940
2010-02-03,57.500000,58.785000,57.160000,57.575001,49.362785,38640
2010-02-04,57.000000,58.000000,55.099998,55.369999,47.472301,64520
2010-02-05,54.200001,55.099998,51.000000,52.619999,45.114536,393790
2010-02-06,null,null,null,null,null,null
2010-02-08,58.000000,59.000000,54.020000,54.474998,46.704948,156380
2010-02-09,54.994999,56.000000,54.299999,54.820000,47.000751,78990
2010-02-10,55.689999,55.689999,53.514999,54.125000,46.404884,52930
2010-02-11,54.000000,56.400002,53.500000,53.880001,46.194828,78590
2010-02-15,54.990002,55.860001,51.450001,51.849998,44.454369,286600
2010-02-16,52.384998,53.695000,52.294998,52.750000,45.226006,1165000
2010-02-17,53.485001,61.965000,52.599998,59.119999,50.687408,3854610
2010-02-18,58.814999,60.700001,57.230000,57.860001,49.607132,1901420
2010-02-19,57.400002,57.945000,56.299999,57.029999,48.895527,264580
2010-02-22,58.990002,59.500000,57.200001,58.200001,49.898643,375730
2010-02-23,57.200001,58.500000,57.130001,57.849998,49.598557,126300
2010-02-24,57.330002,58.369999,57.330002,57.595001,49.379932,56180
2010-02-25,57.974998,58.299999,55.500000,57.110001,48.964111,88270
2010-02-26,56.514999,59.590000,56.424999,58.400002,50.070122,222210
2010-03-02,60.000000,63.799999,60.000000,62.990002,54.005421,723600
2010-03-03,67.099998,67.790001,63.000000,66.974998,57.422020,1131190
2010-03-04,66.800003,66.800003,65.199997,65.504997,56.161682,231020
2010-03-05,65.800003,66.599998,63.060001,63.599998,55.117409,165840
2010-03-08,67.885002,67.885002,63.000000,63.145000,54.723095,152320
2010-03-09,64.599998,64.839996,62.275002,62.660000,54.302780,220510
2010-03-10,62.799999,63.799999,61.564999,62.455002,54.125126,78130
2010-03-11,63.200001,63.799999,61.849998,62.700001,54.337444,72810
2010-03-12,63.000000,63.400002,61.500000,62.735001,54.367775,80500
2010-03-15,63.439999,63.439999,61.049999,62.205002,53.908466,44900
2010-03-16,62.299999,63.500000,61.400002,62.869999,54.484768,74440
2010-03-17,63.674999,63.674999,62.400002,62.540001,54.198788,30050
2010-03-18,62.200001,63.494999,62.200001,62.605000,54.255112,59820
2010-03-19,62.494999,63.000000,62.005001,62.459999,54.129452,58770
2010-03-22,63.494999,63.494999,60.500000,61.505001,53.301830,128590
2010-03-23,60.000000,63.185001,60.000000,62.040001,53.765469,91080
2010-03-25,61.400002,62.500000,60.825001,61.775002,53.535820,54780
2010-03-26,60.099998,62.799999,60.099998,62.000000,53.730808,50890
2010-03-29,61.625000,62.500000,61.110001,62.209999,53.912796,43950
2010-03-30,61.799999,65.500000,61.799999,64.510002,55.906044,163270
2010-03-31,63.224998,66.199997,63.224998,65.135002,56.447685,129730
2010-04-01,65.135002,66.489998,64.500000,66.070000,57.257977,204530
2010-04-05,67.349998,69.300003,66.000000,68.070000,58.991222,316480
2010-04-06,68.470001,68.470001,66.599998,68.050003,58.973892,208580
2010-04-07,69.000000,69.000000,67.800003,68.059998,58.982563,37580
2010-04-08,68.400002,68.449997,66.800003,68.315002,59.203556,63380
2010-04-09,68.440002,68.489998,67.099998,67.654999,58.631577,376150
2010-04-12,68.489998,68.489998,67.110001,67.650002,58.627251,23770
2010-04-13,67.500000,67.894997,66.699997,66.870003,57.951275,31340
2010-04-15,67.500000,68.800003,66.760002,68.434998,59.307541,105760
2010-04-16,67.750000,68.699997,67.214996,68.150002,59.060558,37570
2010-04-19,67.900002,69.300003,66.660004,68.504997,59.368210,67410
2010-04-20,69.000000,69.000000,67.525002,68.070000,58.991222,27400
2010-04-21,68.300003,69.800003,67.720001,68.214996,59.116882,59300
2010-04-22,69.900002,70.000000,67.625000,69.214996,59.983509,167870
2010-04-23,69.394997,69.900002,68.800003,68.949997,59.753853,145200
2010-04-26,69.800003,70.000000,69.099998,69.800003,60.490490,65840
2010-04-27,69.135002,70.000000,68.025002,69.754997,60.451485,289760
2010-04-28,68.000000,69.800003,67.500000,68.654999,59.498203,73310
2010-04-29,70.025002,82.099998,70.025002,80.279999,69.572716,9655250
2010-04-30,80.279999,82.989998,77.559998,80.089996,69.408058,4805180
2010-05-03,78.980003,81.480003,78.160004,80.025002,69.351746,1202980
2010-05-04,80.419998,82.000000,78.625000,79.650002,69.026749,1968690
2010-05-05,78.845001,81.989998,77.010002,81.584999,70.703667,745350
2010-05-06,81.300003,88.370003,81.209999,84.650002,73.359886,3176060
2010-05-07,82.800003,87.000000,81.500000,84.750000,73.446548,1924250
2010-05-10,85.300003,87.000000,84.224998,84.949997,73.619881,811150
2010-05-11,85.105003,86.595001,81.800003,82.709999,71.678619,311810
2010-05-12,82.199997,84.500000,81.900002,82.535004,71.526970,330640
2010-05-13,83.500000,83.879997,82.500000,83.055000,71.977608,141580
2010-05-14,82.199997,83.375000,80.000000,81.004997,70.201035,126880
2010-05-17,80.209999,84.000000,77.900002,82.570000,71.557304,229600
2010-05-18,81.699997,84.989998,81.010002,81.394997,70.539009,99630
2010-05-19,82.199997,83.500000,78.650002,82.639999,71.617973,209700
2010-05-20,82.019997,84.199997,81.000000,82.519997,71.513969,204860
2010-05-21,79.500000,82.000000,79.000000,81.500000,70.630013,68880
2010-05-24,81.500000,84.495003,80.000000,80.885002,70.097031,97130
2010-05-25,82.000000,82.000000,79.000000,80.370003,69.650726,833340
2010-05-26,81.400002,82.000000,80.004997,80.940002,70.144714,53480
2010-05-27,80.010002,82.889999,80.010002,82.014999,71.076324,51610
2010-05-28,82.995003,83.000000,82.000000,82.639999,71.617973,58510
2010-05-31,83.199997,85.489998,82.199997,84.864998,73.546211,211070
2010-06-01,85.025002,86.000000,83.699997,85.495003,74.092178,81150
2010-06-02,85.495003,86.489998,84.300003,84.889999,73.567886,200750
2010-06-03,86.000000,86.000000,84.004997,84.595001,73.312218,113950
2010-06-04,84.680000,84.680000,82.330002,83.480003,72.345932,79040
2010-06-07,82.489998,82.800003,81.400002,82.294998,71.318993,112760
2010-06-08,82.199997,83.000000,78.650002,79.669998,69.044075,71080
2010-06-09,80.500000,82.500000,78.690002,79.440002,68.844757,173650
2010-06-10,80.300003,80.699997,79.699997,80.089996,69.408058,52420
2010-06-11,80.199997,96.110001,80.199997,92.279999,79.972252,13072100
2010-06-14,84.400002,93.050003,84.400002,90.434998,78.373322,4617960
2010-06-15,90.900002,97.695000,90.139999,93.940002,81.410843,8256920
2010-06-16,94.000000,97.400002,93.029999,94.070000,81.523491,1912240
2010-06-17,94.500000,95.739998,93.199997,93.764999,81.259186,728080
2010-06-18,94.580002,95.595001,91.324997,92.214996,79.915901,618180
2010-06-21,92.214996,94.300003,91.800003,92.315002,80.002563,402330
2010-06-22,92.315002,93.690002,91.120003,92.160004,79.868240,203760
2010-06-23,91.199997,92.849998,90.400002,90.985001,78.849976,126120
2010-06-24,91.294998,92.800003,90.000000,90.894997,78.771965,319140
2010-06-25,91.199997,91.495003,89.000000,89.675003,77.714691,206120
2010-06-28,90.000000,90.500000,88.900002,90.044998,78.035332,115690
2010-06-29,90.044998,96.699997,89.250000,91.480003,79.278938,827900
2010-06-30,90.500000,94.480003,90.500000,91.699997,79.469597,223400
2010-07-01,92.500000,93.099998,90.500000,91.095001,78.945290,88140
2010-07-02,90.699997,92.709999,89.599998,90.190002,78.160988,115260
2010-07-05,90.300003,97.129997,90.099998,93.334999,80.886536,1896480
2010-07-06,94.995003,98.199997,92.224998,93.459999,80.994858,2769160
2010-07-07,93.459999,95.500000,92.419998,93.980003,81.445503,1154570
2010-07-08,94.525002,96.980003,94.000000,95.529999,82.788773,1104630
2010-07-09,95.654999,96.000000,93.165001,93.775002,81.267838,290500
2010-07-12,94.410004,95.000000,93.430000,93.879997,81.358833,166020
2010-07-13,94.500000,95.989998,93.500000,93.800003,81.289505,247050
2010-07-14,94.900002,95.800003,94.099998,94.535004,81.926483,236940
2010-07-15,94.099998,95.690002,94.099998,94.489998,81.887482,136480
2010-07-16,94.489998,96.000000,94.000000,94.519997,81.913475,1257840
2010-07-19,94.000000,98.500000,94.000000,96.309998,83.464729,1123460
2010-07-20,96.504997,97.680000,95.500000,96.544998,83.668404,250630
2010-07-21,97.000000,97.574997,95.264999,95.889999,83.100754,599130
2010-07-22,95.800003,99.970001,91.264999,98.440002,85.310654,1453990
2010-07-23,99.500000,100.699997,96.000000,96.870003,83.950050,776850
2010-07-26,99.000000,101.400002,97.400002,98.815002,85.635643,1278820
2010-07-27,99.000000,100.004997,96.510002,96.974998,84.041054,244140
2010-07-28,98.230003,99.000000,97.025002,98.745003,85.574982,272760
2010-07-29,99.199997,99.900002,98.150002,99.370003,86.116623,152040
2010-07-30,99.900002,100.500000,98.099998,98.410004,85.284668,96850
2010-08-02,98.599998,99.599998,98.599998,99.154999,85.930283,128230
2010-08-03,98.805000,103.900002,98.750000,102.955002,89.223457,732390
2010-08-04,103.000000,104.489998,101.699997,103.830002,89.981781,236860
2010-08-05,104.099998,104.785004,100.224998,100.870003,87.416557,155810
2010-08-06,101.199997,103.889999,98.559998,99.675003,86.380943,230730
2010-08-09,100.800003,102.495003,99.904999,101.489998,87.953865,143230
2010-08-10,102.480003,102.480003,100.199997,101.154999,87.663528,39810
2010-08-11,102.150002,102.150002,100.000000,100.910004,87.451218,52190
2010-08-12,100.449997,115.000000,98.224998,109.834999,95.185852,3059250
2010-08-13,110.000000,112.870003,106.504997,109.214996,94.648552,689850
2010-08-16,110.360001,112.000000,106.000000,108.565002,94.085243,1131940
2010-08-17,108.699997,112.000000,108.500000,110.495003,95.757835,185010
2010-08-18,109.500000,111.500000,108.010002,109.875000,95.220512,142350
2010-08-19,109.800003,112.849998,109.099998,109.849998,95.198860,181510
2010-08-20,109.800003,112.500000,107.050003,109.264999,94.691879,107640
2010-08-23,108.199997,111.400002,105.230003,107.169998,92.876282,137990
2010-08-24,107.699997,109.000000,105.514999,108.129997,93.708260,136330
2010-08-25,107.000000,109.199997,105.400002,105.945000,91.814682,357330
2010-08-26,106.500000,122.400002,106.339996,119.930000,103.934441,5799000
2010-08-27,121.000000,127.800003,121.000000,124.764999,108.124588,4549230
2010-08-30,126.500000,126.945000,121.360001,122.955002,106.556000,922750
2010-08-31,123.000000,134.029999,122.345001,125.570000,108.822212,2689130
2010-09-01,126.724998,128.889999,125.419998,126.514999,109.641174,672540
2010-09-02,125.000000,131.500000,125.000000,127.644997,110.620468,619470
2010-09-03,129.380005,130.940002,126.500000,127.010002,110.070160,696450
2010-09-06,128.199997,130.199997,126.625000,127.334999,110.351807,314140
2010-09-07,127.000000,129.000000,126.500000,126.794998,109.883835,156360
2010-09-08,127.000000,128.774994,125.870003,126.574997,109.693176,396120
2010-09-09,127.300003,127.500000,124.209999,126.114998,109.294518,152740
2010-09-13,126.900002,127.000000,122.510002,123.175003,106.746651,104370
2010-09-14,123.199997,124.995003,123.000000,123.894997,107.370621,206080
2010-09-15,123.209999,127.400002,117.264999,121.080002,104.931068,231520
2010-09-16,121.790001,124.699997,120.610001,123.440002,106.976295,187990
2010-09-17,120.610001,124.580002,120.610001,122.184998,105.888687,177260
2010-09-20,121.500000,122.989998,118.519997,121.940002,105.676369,512110
2010-09-21,122.500000,123.000000,118.029999,120.400002,104.341766,313440
2010-09-22,122.500000,122.500000,117.000000,117.334999,101.685539,99360
2010-09-23,119.900002,119.900002,112.105003,116.750000,101.178574,395200
2010-09-24,118.000000,119.500000,116.110001,117.654999,101.962868,154850
2010-09-27,118.199997,122.400002,117.000000,121.195000,105.030731,230730
2010-09-28,121.195000,122.199997,116.500000,120.794998,104.684067,266580
2010-09-29,123.000000,125.800003,120.510002,124.800003,108.154907,257080
2010-09-30,122.300003,124.000000,120.599998,122.269997,105.962341,131900
2010-10-01,123.800003,130.979996,123.019997,129.190002,111.959404,621990
2010-10-04,127.099998,143.985001,126.500000,137.350006,119.031075,1370380
2010-10-05,137.300003,137.880005,133.154999,134.619995,116.665176,378890
2010-10-06,134.699997,137.460007,130.020004,133.710007,115.876549,172680
2010-10-07,134.600006,134.600006,127.000000,127.699997,110.668129,201650
2010-10-08,127.014999,132.000000,126.040001,126.675003,109.779839,151290
2010-10-11,129.990005,132.000000,127.250000,128.955002,111.755745,334480
2010-10-12,129.899994,131.375000,127.500000,128.270004,111.162117,160290
2010-10-13,129.785004,131.000000,127.214996,128.190002,111.092773,151990
2010-10-14,129.785004,129.899994,124.000000,126.214996,109.381187,182120
2010-10-15,128.500000,129.899994,125.000000,128.604996,111.452431,250860
2010-10-18,123.260002,129.500000,123.260002,127.195000,110.230469,73930
2010-10-19,128.949997,129.500000,126.550003,127.199997,110.234818,625890
2010-10-20,126.714996,129.490005,123.550003,124.345001,107.760590,107750
2010-10-21,125.949997,126.099998,124.099998,124.934998,108.271912,79820
2010-10-22,126.389999,126.389999,124.000000,124.334999,107.751930,29350
2010-10-25,125.885002,127.400002,124.500000,125.315002,108.601219,80040
2010-10-26,125.500000,132.100006,124.099998,129.315002,112.067741,227790
2010-10-27,130.500000,130.500000,127.214996,128.429993,111.300743,35970
2010-10-28,129.005005,131.000000,127.010002,127.455002,110.455803,91360
2010-10-29,129.000000,129.300003,125.800003,128.095001,111.010445,92530
2010-11-01,129.979996,131.000000,128.000000,129.854996,112.535690,70320
2010-11-02,132.195007,133.630005,128.615005,132.625000,114.936264,326440
2010-11-03,133.104996,142.300003,133.000000,139.294998,120.716652,644140
2010-11-04,140.225006,142.485001,136.554993,140.070007,121.388298,276920
2010-11-08,141.500000,144.785004,140.000000,142.434998,123.437866,371000
2010-11-09,143.000000,143.000000,136.050003,138.464996,119.997353,96690
2010-11-10,136.210007,139.985001,134.145004,134.774994,116.799507,234670
2010-11-11,135.774994,136.395004,131.000000,131.699997,114.134621,165570
2010-11-12,131.600006,132.899994,125.300003,127.614998,110.594467,164210
2010-11-15,128.000000,128.000000,121.504997,123.519997,107.045631,346130
2010-11-16,124.014999,129.800003,123.599998,127.934998,110.871780,326770
2010-11-18,129.600006,130.000000,126.199997,127.589996,110.572800,109620
2010-11-19,129.899994,129.899994,118.010002,121.269997,105.095726,161440
